"motusTagID","tagDeployID","lat1","lon1","lat2","lon2","dtStart","dtEnd"
25758,12506,43.4114,-66.0092,44.9058,-65.3509,"2017-08-27","2017-09-07"
25758,12506,44.9058,-65.3509,44.0241,-79.5371,"2017-09-07","2017-09-07"
25758,12506,44.0241,-79.5371,44.4297,-66.1654,"2017-09-07","2017-09-10"
25758,12506,44.4297,-66.1654,44.765,-66.7366,"2017-09-10","2017-09-18"
25758,12506,44.765,-66.7366,42.396,-72.5174,"2017-09-18","2017-09-21"
25758,12506,42.396,-72.5174,40.6328,-73.2157,"2017-09-21","2017-09-21"
25758,12506,40.6328,-73.2157,40.4296,-73.9848,"2017-09-21","2017-09-21"
25758,12506,40.4296,-73.9848,40.573745,-73.977428,"2017-09-21","2017-09-21"
25758,12506,40.573745,-73.977428,40.4296,-73.9848,"2017-09-21","2017-09-21"
25758,12506,40.4296,-73.9848,40.573745,-73.977428,"2017-09-21","2017-09-21"
25758,12506,40.573745,-73.977428,40.4296,-73.9848,"2017-09-21","2017-09-21"
25758,12506,40.4296,-73.9848,40.573745,-73.977428,"2017-09-21","2017-09-21"
25758,12506,40.573745,-73.977428,40.4296,-73.9848,"2017-09-21","2017-09-21"
25758,12506,40.4296,-73.9848,40.573745,-73.977428,"2017-09-21","2017-09-21"
25758,12506,40.573745,-73.977428,40.4296,-73.9848,"2017-09-21","2017-09-21"
25758,12506,40.4296,-73.9848,40.573745,-73.977428,"2017-09-21","2017-09-21"
25758,12506,40.573745,-73.977428,40.4296,-73.9848,"2017-09-21","2017-09-21"
25758,12506,40.4296,-73.9848,40.573745,-73.977428,"2017-09-21","2017-09-21"
25758,12506,40.573745,-73.977428,40.4296,-73.9848,"2017-09-21","2017-09-21"
25758,12506,40.4296,-73.9848,40.573745,-73.977428,"2017-09-21","2017-09-21"
25758,12506,40.573745,-73.977428,40.4296,-73.9848,"2017-09-21","2017-09-21"
25758,12506,40.4296,-73.9848,40.573745,-73.977428,"2017-09-21","2017-09-21"
25758,12506,40.573745,-73.977428,40.4296,-73.9848,"2017-09-21","2017-09-21"
25758,12506,40.4296,-73.9848,40.573745,-73.977428,"2017-09-21","2017-09-21"
25758,12506,40.573745,-73.977428,40.4296,-73.9848,"2017-09-21","2017-09-21"
25758,12506,40.4296,-73.9848,40.573745,-73.977428,"2017-09-21","2017-09-21"
25758,12506,40.573745,-73.977428,40.4296,-73.9848,"2017-09-21","2017-09-21"
25758,12506,40.4296,-73.9848,40.573745,-73.977428,"2017-09-21","2017-09-21"
25758,12506,40.573745,-73.977428,39.0533,-74.9253,"2017-09-21","2017-09-21"
25758,12506,39.0533,-74.9253,36.6718,-75.9156,"2017-09-21","2017-09-22"
